recordTime,theDateStr,_Value,value_jian,value_feng,value_ping,value_gu,value_optimize_recommendation
2024-07-18T00:00:00,00:00:00,,0.0,0.0,0.0,0.0,23.0
2024-07-18T00:15:00,00:15:00,,0.0,0.0,0.0,0.0,21.0
2024-07-18T00:30:00,00:30:00,,0.0,0.0,0.0,0.0,22.0
2024-07-18T00:45:00,00:45:00,,0.0,0.0,0.0,0.0,23.0
2024-07-18T01:00:00,01:00:00,,0.0,0.0,0.0,0.0,24.0
2024-07-18T01:15:00,01:15:00,,0.0,0.0,0.0,0.0,25.0
2024-07-18T01:30:00,01:30:00,,0.0,0.0,0.0,0.0,26.0
2024-07-18T01:45:00,01:45:00,,0.0,0.0,0.0,0.0,27.0
2024-07-18T02:00:00,02:00:00,,0.0,0.0,0.0,0.0,28.0
2024-07-18T02:15:00,02:15:00,,0.0,0.0,0.0,0.0,29.0
2024-07-18T02:30:00,02:30:00,,0.0,0.0,0.0,0.0,30.0
2024-07-18T02:45:00,02:45:00,,0.0,0.0,0.0,0.0,31.0
2024-07-18T03:00:00,03:00:00,,0.0,0.0,0.0,0.0,32.0
2024-07-18T03:15:00,03:15:00,,0.0,0.0,0.0,0.0,33.0
2024-07-18T03:30:00,03:30:00,,0.0,0.0,0.0,0.0,34.0
2024-07-18T03:45:00,03:45:00,,0.0,0.0,0.0,0.0,35.0
2024-07-18T04:00:00,04:00:00,,0.0,0.0,0.0,0.0,36.0
2024-07-18T04:15:00,04:15:00,,0.0,0.0,0.0,0.0,37.0
2024-07-18T04:30:00,04:30:00,,0.0,0.0,0.0,0.0,38.0
2024-07-18T04:45:00,04:45:00,,0.0,0.0,0.0,0.0,39.0
2024-07-18T05:00:00,05:00:00,,0.0,0.0,0.0,0.0,40.0
2024-07-18T05:15:00,05:15:00,,0.0,0.0,0.0,0.0,41.0
2024-07-18T05:30:00,05:30:00,,0.0,0.0,0.0,0.0,42.0
2024-07-18T05:45:00,05:45:00,,0.0,0.0,0.0,0.0,43.0
2024-07-18T06:00:00,06:00:00,,0.0,0.0,0.0,0.0,44.0
2024-07-18T06:15:00,06:15:00,,0.0,0.0,0.0,0.0,45.0
2024-07-18T06:30:00,06:30:00,,0.0,0.0,0.0,0.0,46.0
2024-07-18T06:45:00,06:45:00,,0.0,0.0,0.0,0.0,47.0
2024-07-18T07:00:00,07:00:00,,0.0,0.0,0.0,0.0,48.0
